Takım,Sezon,Hafta,Oynanan Maç,Galibiyet,Beraberlik,Mağlubiyet,Atılan Gol,Yenilen Gol,Averaj,Puan,Sarı Kart,Kırmızı Kart,Toplam Şut,İsabetli Şut,Toplam Pas,İsabetli Pas,Toplam Hücum,Tehlikeli Hücum,Toplam Ofsayt,Son_Puan,Etiket
Antalyaspor,2016-2017,17,46,62,36,71,25,12,13,34,51,50,85,62,75,67,33,32,75,63,Şampiyon
Adana Demirspor,2016-2017,17,85,68,98,95,28,20,8,34,43,9,38,44,66,26,20,92,10,58,İkinci
Galatasaray,2016-2017,17,43,9,87,26,18,7,11,33,81,89,34,89,55,5,92,61,14,57,Avrupa
Fenerbahçe,2016-2017,17,89,19,1,51,34,34,0,34,79,83,77,53,33,72,7,10,69,57,Avrupa
Giresunspor,2016-2017,17,76,78,72,81,10,17,-7,26,27,53,26,44,74,81,88,52,77,54,Avrupa
Hatayspor,2016-2017,17,85,36,72,73,35,16,19,25,61,26,75,86,15,21,67,31,90,54,Avrupa
Kayserispor,2016-2017,17,49,20,0,78,30,19,11,22,32,59,17,81,27,12,89,84,29,50,Orta
Gaziantep FK,2016-2017,17,28,20,84,9,19,11,8,31,15,6,79,92,91,44,49,56,61,44,Orta
Fatih Karagümrük,2016-2017,17,51,82,32,53,13,11,2,31,77,19,56,85,89,99,90,75,42,44,Orta
Beşiktaş,2016-2017,17,76,81,30,94,32,34,-2,32,55,47,98,6,25,95,47,19,75,41,Orta
İstanbulspor,2016-2017,17,0,45,74,82,8,11,-3,11,68,6,70,11,52,33,5,51,42,38,Orta
Alanyaspor,2016-2017,17,49,19,55,23,33,10,23,15,78,24,14,51,30,56,39,44,65,36,Orta
Başakşehir,2016-2017,17,30,40,55,26,36,14,22,10,2,45,73,8,27,3,61,74,41,30,Orta
Sivasspor,2016-2017,17,65,27,32,16,24,24,0,28,68,12,18,24,70,87,92,2,80,29,Orta
Trabzonspor,2016-2017,17,22,38,4,90,14,28,-14,21,62,16,44,41,71,68,87,13,56,24,Orta
Kasımpaşa,2016-2017,17,46,29,46,39,34,8,26,18,72,52,13,34,89,50,50,97,28,24,Orta
Ümraniyespor,2016-2017,17,75,89,33,25,26,13,13,21,48,70,58,14,7,70,78,65,19,21,Alt
Konyaspor,2016-2017,17,6,46,9,57,31,15,16,10,97,47,70,70,22,25,93,0,5,17,Alt
Ankaragücü,2016-2017,17,1,70,31,57,37,21,16,15,15,65,93,80,69,95,36,44,14,15,Alt
Antalyaspor,2017-2018,17,61,21,72,82,17,35,-18,26,41,95,75,76,99,32,6,46,59,54,Şampiyon
Ankaragücü,2017-2018,17,20,50,43,11,35,20,15,29,0,69,0,30,0,99,83,39,73,49,İkinci
Ümraniyespor,2017-2018,17,54,22,30,9,32,9,23,22,30,92,99,14,24,10,69,76,64,47,Avrupa
Adana Demirspor,2017-2018,17,46,37,18,32,26,25,1,28,89,58,83,36,42,1,20,23,55,44,Avrupa
Sivasspor,2017-2018,17,6,68,0,67,28,24,4,13,96,70,63,23,11,80,48,15,2,41,Avrupa
Kayserispor,2017-2018,17,79,78,13,49,16,5,11,24,64,62,23,77,93,88,63,62,58,39,Avrupa
Kasımpaşa,2017-2018,17,25,37,24,39,27,11,16,10,48,0,82,40,61,71,57,42,78,38,Orta
Galatasaray,2017-2018,17,76,24,88,86,8,25,-17,26,59,27,77,5,31,77,15,99,66,37,Orta
Trabzonspor,2017-2018,17,27,29,87,35,5,21,-16,31,97,53,6,53,49,7,9,54,90,32,Orta
Gaziantep FK,2017-2018,17,59,46,72,15,27,36,-9,18,4,96,0,49,83,1,17,21,79,31,Orta
Alanyaspor,2017-2018,17,73,68,62,46,13,20,-7,26,5,9,26,72,64,33,70,92,99,30,Orta
Konyaspor,2017-2018,17,83,7,59,48,17,21,-4,14,14,72,12,36,38,45,6,55,35,28,Orta
Başakşehir,2017-2018,17,8,88,0,51,29,35,-6,26,88,54,49,1,58,0,88,91,81,28,Orta
Fenerbahçe,2017-2018,17,13,93,18,46,37,15,22,14,90,50,61,82,94,41,94,15,68,26,Orta
Fatih Karagümrük,2017-2018,17,34,88,48,89,11,36,-25,22,34,72,74,92,76,53,37,28,2,24,Orta
Giresunspor,2017-2018,17,70,93,4,80,12,25,-13,10,12,49,43,27,91,24,81,88,94,23,Orta
Beşiktaş,2017-2018,17,20,20,20,44,18,6,12,10,49,92,57,70,44,56,29,98,76,19,Alt
İstanbulspor,2017-2018,17,85,35,1,20,11,27,-16,14,74,23,18,16,47,62,43,56,99,16,Alt
Hatayspor,2017-2018,17,81,98,73,50,26,22,4,10,82,26,71,39,54,35,90,15,44,15,Alt
Beşiktaş,2018-2019,17,49,89,81,15,7,9,-2,33,54,36,41,91,56,15,94,50,6,60,Şampiyon
Galatasaray,2018-2019,17,94,11,48,73,6,14,-8,22,75,5,74,52,23,73,66,15,81,50,İkinci
Kayserispor,2018-2019,17,71,35,97,9,33,10,23,31,72,32,22,46,80,25,0,8,54,50,Avrupa
Fenerbahçe,2018-2019,17,30,15,87,34,12,11,1,29,17,10,82,15,0,76,21,46,13,48,Avrupa
Fatih Karagümrük,2018-2019,17,90,38,31,48,21,18,3,18,20,41,98,62,94,32,65,35,54,46,Avrupa
Adana Demirspor,2018-2019,17,72,35,40,75,38,29,9,24,72,13,13,3,58,94,71,15,3,44,Avrupa
Gaziantep FK,2018-2019,17,3,44,23,4,32,7,25,18,5,35,65,12,54,32,93,59,26,43,Orta
Antalyaspor,2018-2019,17,60,91,46,24,6,27,-21,31,47,94,91,72,80,65,25,49,37,43,Orta
Sivasspor,2018-2019,17,52,35,23,4,34,19,15,21,92,20,3,56,91,12,67,77,35,42,Orta
Kasımpaşa,2018-2019,17,84,89,19,1,14,35,-21,20,71,37,85,53,70,79,31,9,23,40,Orta
Hatayspor,2018-2019,17,80,53,43,80,38,24,14,12,10,25,49,59,73,38,3,13,98,39,Orta
İstanbulspor,2018-2019,17,95,66,69,1,24,10,14,32,48,61,4,41,26,33,94,33,8,39,Orta
Ankaragücü,2018-2019,17,36,77,65,57,26,21,5,22,12,80,17,81,88,48,45,39,2,39,Orta
Ümraniyespor,2018-2019,17,99,88,11,68,30,13,17,29,59,61,67,9,34,77,38,15,31,37,Orta
Başakşehir,2018-2019,17,85,54,37,37,9,33,-24,32,86,91,45,45,20,69,18,33,10,34,Orta
Giresunspor,2018-2019,17,85,31,64,25,26,34,-8,26,93,46,97,46,67,48,66,47,55,33,Orta
Konyaspor,2018-2019,17,55,65,21,31,29,22,7,23,20,10,77,54,69,53,2,25,37,30,Alt
Trabzonspor,2018-2019,17,75,96,83,0,5,30,-25,26,35,80,15,16,1,93,12,40,21,27,Alt
Alanyaspor,2018-2019,17,32,36,34,54,7,34,-27,17,41,83,34,56,42,49,22,59,95,27,Alt
Kayserispor,2021-2022,17,81,57,3,12,6,25,-19,26,80,71,73,38,22,13,12,89,15,47,Şampiyon
Konyaspor,2021-2022,17,34,8,48,63,23,18,5,25,31,34,42,45,0,49,7,83,75,47,İkinci
Trabzonspor,2021-2022,17,93,6,17,71,13,18,-5,31,99,64,97,2,35,22,28,18,34,44,Avrupa
İstanbulspor,2021-2022,17,45,70,84,38,19,26,-7,34,7,13,34,99,86,91,44,50,74,43,Avrupa
Alanyaspor,2021-2022,17,39,6,16,38,30,12,18,17,90,30,41,40,38,1,99,82,8,42,Avrupa
Ümraniyespor,2021-2022,17,43,30,29,82,24,27,-3,20,31,37,53,73,80,27,87,9,25,41,Avrupa
Giresunspor,2021-2022,17,78,87,68,28,20,6,14,15,38,81,20,0,23,52,21,92,92,40,Orta
Kasımpaşa,2021-2022,17,96,93,6,94,8,11,-3,31,99,26,51,29,81,3,16,11,37,39,Orta
Galatasaray,2021-2022,17,78,74,19,87,29,9,20,34,58,60,8,26,71,15,4,63,87,37,Orta
Antalyaspor,2021-2022,17,13,63,94,15,27,36,-9,15,14,62,98,4,60,88,12,38,34,35,Orta
Beşiktaş,2021-2022,17,90,62,73,94,22,37,-15,19,24,59,36,81,60,17,13,3,54,34,Orta
Ankaragücü,2021-2022,17,83,94,55,15,10,9,1,26,98,90,98,80,21,53,17,44,57,34,Orta
Hatayspor,2021-2022,17,92,96,72,50,21,32,-11,24,53,4,20,18,9,25,84,30,11,29,Orta
Gaziantep FK,2021-2022,17,63,41,80,78,31,20,11,25,37,31,81,30,1,13,44,14,29,26,Orta
Başakşehir,2021-2022,17,18,23,53,50,19,26,-7,13,11,73,2,63,84,85,76,80,55,21,Orta
Adana Demirspor,2021-2022,17,10,13,31,4,18,27,-9,17,10,34,46,43,1,10,90,95,88,19,Orta
Fenerbahçe,2021-2022,17,67,35,26,3,5,29,-24,11,69,80,43,62,66,27,93,96,84,18,Alt
Fatih Karagümrük,2021-2022,17,37,61,42,94,16,16,0,11,51,96,54,81,77,76,26,72,37,18,Alt
Sivasspor,2021-2022,17,58,86,82,37,5,36,-31,10,84,99,23,91,51,23,95,55,19,12,Alt
Sivasspor,2022-2023,17,20,56,83,73,13,21,-8,31,73,56,37,93,9,19,34,75,34,57,Şampiyon
Giresunspor,2022-2023,17,23,22,10,12,21,35,-14,32,77,5,71,0,55,52,92,32,96,52,İkinci
Gaziantep FK,2022-2023,17,28,63,88,46,38,38,0,27,54,0,58,57,90,43,82,25,88,48,Avrupa
Beşiktaş,2022-2023,17,40,35,99,27,22,16,6,32,88,19,25,88,27,40,27,71,37,46,Avrupa
Alanyaspor,2022-2023,17,59,97,63,37,34,38,-4,20,59,41,11,63,76,70,67,98,66,44,Avrupa
Adana Demirspor,2022-2023,17,39,13,56,89,6,39,-33,20,90,40,19,27,80,94,78,17,16,40,Avrupa
İstanbulspor,2022-2023,17,71,88,67,99,11,20,-9,22,19,63,65,26,19,97,9,17,30,37,Orta
Hatayspor,2022-2023,17,45,96,62,12,34,24,10,32,4,44,57,80,58,43,56,80,15,36,Orta
Galatasaray,2022-2023,17,88,12,21,40,28,20,8,30,90,60,79,47,24,63,36,53,96,36,Orta
Kayserispor,2022-2023,17,93,62,66,60,35,26,9,29,67,48,12,14,21,18,51,65,35,36,Orta
Konyaspor,2022-2023,17,54,46,44,57,28,34,-6,12,86,83,85,1,77,57,62,90,80,35,Orta
Trabzonspor,2022-2023,17,95,12,12,24,13,39,-26,14,73,5,61,52,1,12,41,85,82,34,Orta
Kasımpaşa,2022-2023,17,12,20,49,58,8,21,-13,34,29,74,95,88,53,17,76,43,86,34,Orta
Fatih Karagümrük,2022-2023,17,5,6,5,12,31,25,6,26,72,20,92,14,16,63,33,47,61,33,Orta
Ankaragücü,2022-2023,17,61,53,83,91,37,27,10,19,17,41,6,62,50,30,15,35,66,30,Orta
Ümraniyespor,2022-2023,17,18,73,64,48,33,14,19,14,27,20,93,45,27,94,58,73,56,28,Orta
Antalyaspor,2022-2023,17,59,30,22,92,20,20,0,16,11,1,83,94,98,71,62,2,32,21,Alt
Başakşehir,2022-2023,17,66,93,41,58,33,22,11,17,85,46,27,80,99,75,21,91,83,21,Alt
Fenerbahçe,2022-2023,17,74,7,84,71,7,35,-28,14,49,43,99,72,61,86,36,57,10,20,Alt
