country,iso_code,category,real_estate_score,auto_score
Turkey,TUR,Emlak Ülkesi,51.80375000000001,169109.0875
Germany,DEU,Emlak Ülkesi,40.44625,457592.56249999994
United States,USA,Emlak Ülkesi,52.143750000000004,1225111.7499999998
France,FRA,Emlak Ülkesi,42.996249999999996,202577.575
Japan,JPN,Emlak Ülkesi,45.07375,967591.2374999999
United Kingdom,GBR,Emlak Ülkesi,43.6825,421057.875
Canada,CAN,Emlak Ülkesi,35.168749999999996,1216099.4999999998
Italy,ITA,Emlak Ülkesi,47.22999999999999,436832.58749999997
South Korea,KOR,Emlak Ülkesi,46.595,451846.27499999997
Spain,ESP,Emlak Ülkesi,49.58375,81249.81250000001
Australia,AUS,Emlak Ülkesi,55.22125,849776.8125
Netherlands,NLD,Emlak Ülkesi,51.145,1165933.875
Sweden,SWE,Emlak Ülkesi,49.543749999999996,388635.10000000003
Norway,NOR,Otomobil Ülkesi,58.915,607337.175
Denmark,DNK,Emlak Ülkesi,35.6075,441017.46249999997
Poland,POL,Emlak Ülkesi,39.504999999999995,1026406.3
Brazil,BRA,Emlak Ülkesi,43.418749999999996,372759.7249999999
Mexico,MEX,Otomobil Ülkesi,44.52,1166335.1375
China,CHN,Emlak Ülkesi,53.058749999999996,593159.675
India,IND,Emlak Ülkesi,34.07625,52418.987499999996
Indonesia,IDN,Otomobil Ülkesi,39.77125,1223950.225
Saudi Arabia,SAU,Otomobil Ülkesi,35.76,819575.55
Russia,RUS,Emlak Ülkesi,43.46875,933275.0375000001
South Africa,ZAF,Otomobil Ülkesi,47.529999999999994,1105152.7125000001
Argentina,ARG,Emlak Ülkesi,57.68625000000001,222583.27499999997
Thailand,THA,Emlak Ülkesi,51.489999999999995,764745.4500000001
Vietnam,VNM,Otomobil Ülkesi,37.681250000000006,560866.55
Philippines,PHL,Emlak Ülkesi,66.47,1052008.4999999998
Malaysia,MYS,Emlak Ülkesi,52.68875,405382.15
Singapore,SGP,Emlak Ülkesi,30.082500000000003,578598.7750000001
Israel,ISR,Emlak Ülkesi,54.11374999999999,1030967.0249999999
Switzerland,CHE,Emlak Ülkesi,38.9225,1066348.3625
Austria,AUT,Otomobil Ülkesi,37.62875,198453.18749999997
Belgium,BEL,Otomobil Ülkesi,51.978750000000005,556294.0750000001
Finland,FIN,Otomobil Ülkesi,48.777499999999996,1009751.25
Ireland,IRL,Otomobil Ülkesi,53.0525,905208.4500000001
Czech Republic,CZE,Emlak Ülkesi,30.56875,999573.6375
Greece,GRC,Emlak Ülkesi,56.38125,1146335.925
Portugal,PRT,Emlak Ülkesi,32.5525,20765.399999999998
Hungary,HUN,Emlak Ülkesi,52.08875,939778.825
Romania,ROU,Otomobil Ülkesi,53.22375,706617.1375
New Zealand,NZL,Otomobil Ülkesi,56.2775,910792.5375000001
Chile,CHL,Otomobil Ülkesi,30.718750000000004,816023.9625
Colombia,COL,Emlak Ülkesi,48.60749999999999,364942.80000000005
Egypt,EGY,Emlak Ülkesi,34.22625,896237.325
United Arab Emirates,ARE,Emlak Ülkesi,41.660000000000004,733529.25
Qatar,QAT,Otomobil Ülkesi,49.32875,911642.8
Nigeria,NGA,Otomobil Ülkesi,57.417500000000004,1108233.7
Ukraine,UKR,Otomobil Ülkesi,26.66625,591512.6875
Peru,PER,Otomobil Ülkesi,47.95750000000001,1225591.2625
