country,iso_code,year,population,gdp_per_capita,inflation_rate,interest_rate,construction_gdp,construction_employment,housing_price_index,household_debt_to_gdp,real_estate_investment,urbanization_rate,housing_loans,new_housing_starts,auto_production,auto_export,auto_gdp,auto_employment,vehicle_density,electric_vehicle_share,auto_rnd_expenditure,road_quality_index,manufacturing_index,import_dependency,policy_orientation_index
Turkey,TUR,2022,85.2,10675.0,72.3,19.0,4.9,6.4,280.5,14.3,7.5,93.0,7.1,0.73,1352648,31.6,4.3,2.4,180,1.4,0.7,4.3,49.3,38.2,3.4
Germany,DEU,2022,83.2,50200.0,6.9,2.5,5.2,6.9,130.4,56.2,6.8,78.7,39.1,0.27,3660000,142.0,4.8,2.8,570,13.6,1.9,5.4,47.1,40.2,4.1
United States,USA,2022,332.0,76200.0,8.0,4.0,4.5,5.9,190.3,76.5,6.2,83.0,49.2,1.55,9800000,55.1,3.5,1.9,820,6.2,2.1,5.2,52.4,15.4,3.7
France,FRA,2022,67.8,43200.0,5.2,2.0,6.1,7.5,140.5,60.0,7.1,80.1,42.3,0.37,1620000,45.2,3.2,2.3,550,12.5,1.6,5.8,50.2,35.7,4.0
Japan,JPN,2022,125.7,40400.0,2.5,-0.1,5.4,6.1,145.2,66.5,6.9,91.8,37.8,0.89,7740000,112.0,5.1,2.7,600,2.8,1.8,5.5,49.9,22.1,3.9
United Kingdom,GBR,2022,101.0,5684.4,20.7,-0.5,6.7,3.3,197.2,51.6,4.0,62.2,23.9,0.56,3367589,17.3,5.4,3.1,831,12.2,0.6,4.4,50.4,58.8,3.8
Canada,CAN,2022,88.7,26307.0,22.8,16.2,5.6,8.1,139.2,38.6,6.9,52.7,28.5,1.75,9727828,98.6,5.4,2.7,848,5.7,2.1,5.5,55.0,62.4,3.7
Italy,ITA,2022,62.7,50771.9,44.9,19.5,7.8,2.3,179.1,98.6,5.4,70.0,13.8,0.84,3493949,6.0,4.9,2.7,681,8.9,1.8,6.4,50.3,62.2,2.0
South Korea,KOR,2022,128.8,29318.0,35.9,2.0,5.6,2.5,219.2,19.8,4.9,90.9,28.7,1.16,3614391,46.8,4.1,3.4,314,3.4,1.9,5.6,48.0,69.7,3.4
Spain,ESP,2022,78.9,8766.5,64.3,8.3,5.6,8.5,211.8,51.2,6.8,71.5,39.5,1.77,649283,131.4,2.3,3.3,572,2.2,0.3,4.0,49.7,68.6,2.2
Australia,AUS,2022,88.8,49397.5,63.4,4.3,6.0,7.8,276.0,20.2,6.4,74.9,49.3,1.17,6798038,5.3,3.8,0.7,155,5.5,1.4,4.8,50.1,19.1,4.0
Netherlands,NLD,2022,97.5,7049.7,17.1,14.1,6.0,2.3,216.4,55.7,7.8,97.7,23.2,0.06,9326698,30.4,5.2,1.5,725,7.3,0.6,3.0,46.0,42.3,4.2
Sweden,SWE,2022,83.8,38859.6,65.4,11.2,3.1,8.1,260.3,42.0,9.9,42.8,28.7,1.45,3108839,73.1,3.9,2.4,143,15.2,0.5,3.7,52.7,25.7,3.1
Norway,NOR,2022,33.6,71243.3,67.8,17.9,5.8,7.9,259.9,82.3,5.3,73.2,36.6,0.32,4857895,37.7,3.6,2.4,742,11.5,2.3,2.9,54.2,39.2,2.9
